Verb,VerbNet Class,Situation Domain,Situation,Polysemy,,,Distinct Verb,Mapping Count,,,,,,Gaps
canter,run-51.3.2,Motion,Basic Motion,Monosemous,,,comprehend,1,,,Motion,,,
canvass,investigate-35.4,Volition,Search,Monosemous,,,compress,1,,,Volition,,,
cap,butter-9.9,Incremental,Causative Incremental,Polysemous,,,compromise,1,,,Incremental,,,
cap,contiguous_location-47.8,Location,Location,Polysemous,,,compute,1,,,Location,,,
capacitate,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,con,2,,,Transformation,,,
caper,run-51.3.2,Motion,Basic Motion,Monosemous,,,conceal,1,,,Motion,,,
capsize,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,concede,1,,,Transformation,,,
captain,captain-29.8,Affiliation,Role,Monosemous,,,conceive,2,,,Affiliation,,,
captivate,amuse-31.1,Affect,Affect,Monosemous,,,concern,2,,,Affect,,,
capture,steal-10.5,Possession,Transfer of Possession,Monosemous,,,conclude,1,,,Possession,,,
caramelize,cooking-45.3,Transformation,Causative Change of State,Monosemous,,,concoct,1,,,Transformation,,,
caravan,vehicle-51.4.1,Motion,Vehicular Motion,Monosemous,,,concur,1,,,Motion,,,
carbonify,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,condemn,2,,,Transformation,,,
carbonize,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,condense,1,,,Transformation,,,
care,marvel-31.3,Affect,Affect,Monosemous,,,condition,1,,,Affect,,,
caress,touch-20,Force,Basic Force,Monosemous,,,condone,2,,,Force,,,
carjack,steal-10.5,Possession,Transfer of Possession,Monosemous,,,conduct,1,,,Possession,,,
carol,manner_speaking-37.3,Communication,Statement,Monosemous,,,confer,1,,,Communication,,,
carom,run-51.3.2,Motion,Basic Motion,Monosemous,,,confess,1,,,Motion,,,
carpet,butter-9.9,Incremental,Causative Incremental,Polysemous,,,confide,1,,,Incremental,,,
carpet,ﬁll-9.8,Incremental,Basic Incremental,Polysemous,,,configure,1,,,Incremental,,,
carry,carry-11.4,Motion,Carry,Polysemous,,,confine,1,,,Motion,,,
carry,cost-54.2,Quantification,Measurement,Polysemous,,,confirm,1,,,Quantification,,,
carry,fit-54.3,Quantification,Capacity,Polysemous,,,confiscate,1,,,Quantification,,,
cart,drive-11.5,Motion,Vehicular Motion,Monosemous,,,conflate,1,,,Motion,,,
carve,build-26.1,Creation,Causative Creation,Polysemous,,,confound,1,,,Creation,,,
carve,carve-21.2,Force,Basic Force,Polysemous,,,confront,1,,,Force,,,
carve,disassemble-23.3,Incremental,Basic Incremental,Polysemous,,,confuse,1,,,Incremental,,,
carve,scribble-25.2,Creation,Image Creation,Polysemous,,,conga,1,,,Creation,,,
cascade,meander-47.7,Existence,Existence,Monosemous,,,congeal,1,,,Existence,,,
case,pocket-9.10,Incremental,Basic Incremental,Monosemous,,,congratulate,2,,,Incremental,,,
cash,get-13.5.1,Possession,Dynamic Possession,Polysemous,,,congregate,1,,,Possession,,,
cash,get-13.5.1,Possession,Buy and Sell,Polysemous,,,conjecture,1,,,Possession,,,
cast,build-26.1,Creation,Causative Creation,Polysemous,,,conjure,1,,,Creation,,,
cast,characterize-29.2,Communication,Statement,Polysemous,,,conk,2,,,Communication,,,
cast,throw-17.1,Motion,Throw,Polysemous,,,connect,1,,,Motion,,,
castigate,judgment-33.1,Affiliation,Attack,Polysemous,,,consecrate,1,,,Affiliation,,,
castigate,judgment-33.1,Cognition,Judge,Polysemous,,,consider,1,,,Cognition,,,
castrate,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,console,1,,,Transformation,,,
catalogue,classify-29.10,Cognition,Judge,Monosemous,,,consolidate,1,,,Cognition,,,
catapult,throw-17.1,Motion,Throw,Monosemous,,,constellate,1,,,Motion,,,
catch,get-13.5.1,Possession,Dynamic Possession,Polysemous,,,constipate,1,,,Possession,,,
catch,get-13.5.1,Possession,Buy and Sell,Polysemous,,,constrict,1,,,Possession,,,
categorize,classify-29.10,Cognition,Judge,Polysemous,,,constringe,1,,,Cognition,,,
categorize,remedy-45.7,Transformation,Causative Change of State,Polysemous,,,construct,2,,,Transformation,,,
caterwaul,complain-37.8,Communication,Statement,Polysemous,,,construe,1,,,Communication,,,
caterwaul,sound_emission-43.2,Creation,Emission,Polysemous,,,consult,3,,,Creation,,,
catholicize,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,consume,2,,,Transformation,,,
catnap,snooze-40.4,Existence,Existence,Monosemous,,,contain,2,,,Existence,,,
caulk,butter-9.9,Incremental,Causative Incremental,Monosemous,,,contaminate,1,,,Incremental,,,
cause,engender-27.1,Causation,Cause and Effect,Monosemous,,,contend,1,,,Causation,,,
cause,result-27.2,Causation,Cause and Effect,Monosemous,,,content,1,,,Causation,,,
cauterize,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,contextualize,1,,,Transformation,,,
caution,advise-37.9,Communication,Communicate,Monosemous,,,continue,2,,,Communication,,,
cavort,run-51.3.2,Motion,Basic Motion,Monosemous,,,contort,1,,,Motion,,,
caw,animal_sounds-38,Creation,Emission,Monosemous,,,contract,2,,,Creation,,,
cede,future_having-13.3,Possession,Future Having,Monosemous,,,contribute,1,,,Possession,,,
celebrate,judgment-33.1,Affiliation,Attack,Polysemous,,,contrive,1,,,Affiliation,,,
celebrate,judgment-33.1,Cognition,Judge,Polysemous,,,contuse,1,,,Cognition,,,
cellar,pocket-9.10,Incremental,Basic Incremental,Monosemous,,,convene,1,,,Incremental,,,
cement,tape-22.4,Incremental,Basic Incremental,Monosemous,,,converge,1,,,Incremental,,,
censure,judgment-33.1,Affiliation,Attack,Polysemous,,,converse,1,,,Affiliation,,,
censure,judgment-33.1,Cognition,Judge,Polysemous,,,convert,1,,,Cognition,,,
centralize,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,convey,2,,,Transformation,,,
certify,characterize-29.2,Communication,Statement,Monosemous,,,convince,2,,,Communication,,,
chafe,hurt-40.8.3,Transformation,Hurt,Polysemous,,,convulse,1,,,Transformation,,,
chafe,marvel-31.3,Affect,Affect,Polysemous,,,coo,2,,,Affect,,,
chafe,touch-20,Force,Basic Force,Polysemous,,,cook,2,,,Force,,,
chagrin,amuse-31.1,Affect,Affect,Monosemous,,,cook_up,1,,,Affect,,,
chain,tape-22.4,Incremental,Basic Incremental,Monosemous,,,cool,1,,,Incremental,,,
chalk,scribble-25.2,Creation,Image Creation,Monosemous,,,coop,1,,,Creation,,,
chamfer,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,cooperate,2,,,Transformation,,,
champion,captain-29.8,Affiliation,Role,Monosemous,,,cop,1,,,Affiliation,,,
chance,occur-48.3,Existence,Existence,Monosemous,,,copy,1,,,Existence,,,
chance_across,discover-84,Cognition,Know,Polysemous,,,core,1,,,Cognition,,,
chance_across,encounter-30.5,Perception,Sense,Polysemous,,,cork,1,,,Perception,,,
chance_on,discover-84,Cognition,Know,Monosemous,,,coronate,1,,,Cognition,,,
chance_upon,discover-84,Cognition,Know,Polysemous,,,corral,1,,,Cognition,,,
chance_upon,encounter-30.5,Perception,Sense,Polysemous,,,correct,1,,,Perception,,,
change,dress-41.1.1,Incremental,Basic Incremental,Polysemous,,,correlate,1,,,Incremental,,,
change,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,correspond,1,,,Transformation,,,
change,turn-26.6.1,Transformation,Basic Change of State,Polysemous,,,corroborate,2,,,Transformation,,,
channel,funnel-9.3,Incremental,Basic Incremental,Monosemous,,,corrode,1,,,Incremental,,,
channelize,funnel-9.3,Incremental,Basic Incremental,Monosemous,,,corrugate,1,,,Incremental,,,
chant,manner_speaking-37.3,Communication,Statement,Polysemous,,,corrupt,1,,,Communication,,,
chant,performance-26.7,Creation,Causative Creation,Polysemous,,,cosh,1,,,Creation,,,
chaperone,captain-29.8,Affiliation,Role,Monosemous,,,cost,1,,,Affiliation,,,
char,cooking-45.3,Transformation,Causative Change of State,Polysemous,,,cough,2,,,Transformation,,,
char,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,counsel,1,,,Transformation,,,
characterize,characterize-29.2,Communication,Statement,Monosemous,,,count,3,,,Communication,,,
charbroil,cooking-45.3,Transformation,Causative Change of State,Monosemous,,,counter,1,,,Transformation,,,
charcoal,scribble-25.2,Creation,Image Creation,Monosemous,,,counteract,1,,,Creation,,,
charcoal-broil,cooking-45.3,Transformation,Causative Change of State,Monosemous,,,couple,1,,,Transformation,,,
charge,attack-60.1,Affiliation,Attack,Polysemous,,,court,1,,,Affiliation,,,
charge,bill-54.5,Possession,Transfer of Possession,Polysemous,,,cover,2,,,Possession,,,
charge,bill-54.5,Possession,Pay and Charge,Polysemous,,,covet,1,,,Possession,,,
charge,conﬁne-92,Affiliation,Cause Membership,Polysemous,,,cow,1,,,Affiliation,,,
charge,equip-13.4.2,Possession,Transfer of Possession,Polysemous,,,cower,1,,,Possession,,,
charge,run-51.3.2,Motion,Basic Motion,Polysemous,,,cowrite,1,,,Motion,,,
chariot,vehicle-51.4.1,Motion,Vehicular Motion,Monosemous,,,cox,1,,,Motion,,,
charm,amuse-31.1,Affect,Affect,Monosemous,,,cozen,2,,,Affect,,,
chart,transcribe-25.4,Creation,Image Creation,Monosemous,,,crab,1,,,Creation,,,
charter,get-13.5.1,Possession,Dynamic Possession,Polysemous,,,crack,3,,,Possession,,,
charter,get-13.5.1,Possession,Buy and Sell,Polysemous,,,crackle,1,,,Possession,,,
chase,chase-51.6,Motion,Pursuit,Monosemous,,,craft,1,,,Motion,,,
chasten,judgment-33.1,Affiliation,Attack,Polysemous,,,cram,2,,,Affiliation,,,
chasten,judgment-33.1,Cognition,Judge,Polysemous,,,crane,1,,,Cognition,,,
chastise,judgment-33.1,Affiliation,Attack,Polysemous,,,crash,3,,,Affiliation,,,
chastise,judgment-33.1,Cognition,Judge,Polysemous,,,crate,1,,,Cognition,,,
chat,chit_chat-37.6,Communication,Joint Statement,Monosemous,,,crave,2,,,Communication,,,
chatter,animal_sounds-38,Creation,Emission,Polysemous,,,crawl,2,,,Creation,,,
chatter,chit_chat-37.6,Communication,Joint Statement,Polysemous,,,crayon,1,,,Communication,,,
chatter,manner_speaking-37.3,Communication,Statement,Polysemous,,,creak,1,,,Communication,,,
chatter,sound_emission-43.2,Creation,Emission,Polysemous,,,cream,1,,,Creation,,,
chauffeur,captain-29.8,Affiliation,Role,Monosemous,,,crease,1,,,Affiliation,,,
cheapen,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,create,2,,,Transformation,,,
cheat,cheat-10.6.1,Possession,Transfer of Possession,Polysemous,,,credit,1,,,Possession,,,
cheat,trick-59.2,Affiliation,Inducive,Polysemous,,,creep,2,,,Affiliation,,,
check,assessment-34.1,Cognition,Judge,Polysemous,,,cremate,1,,,Cognition,,,
check,peer-30.3,Perception,Look,Polysemous,,,crepitate,1,,,Perception,,,
check,search-35.2,Volition,Search,Polysemous,,,crest,1,,,Volition,,,
cheep,animal_sounds-38,Creation,Emission,Monosemous,,,crew,1,,,Creation,,,
cheer,amuse-31.1,Affect,Affect,Monosemous,,,crimp,1,,,Affect,,,
cheer,marvel-31.3,Affect,Affect,Monosemous,,,crimson,1,,,Affect,,,
cheer_up,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,cringe,1,,,Transformation,,,
cherish,admire-31.2,Attend,Attend,Monosemous,,,crinkle,1,,,Attend,,,
chew,chew-39.2,Transformation,Ingestion,Monosemous,,,cripple,1,,,Transformation,,,
chide,judgment-33.1,Affiliation,Attack,Polysemous,,,crisp,2,,,Affiliation,,,
chide,judgment-33.1,Cognition,Judge,Polysemous,,,crisscross,1,,,Cognition,,,
chill,amuse-31.1,Affect,Affect,Polysemous,,,criticize,2,,,Affect,,,
chill,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,croak,3,,,Transformation,,,
chime,sound_emission-43.2,Creation,Emission,Monosemous,,,crochet,1,,,Creation,,,
chink,sound_emission-43.2,Creation,Emission,Monosemous,,,crook,1,,,Creation,,,
chip,break-45.1,Transformation,Basic Change of State,Polysemous,,,croon,1,,,Transformation,,,
chip,carve-21.2,Force,Basic Force,Polysemous,,,crop,2,,,Force,,,
chip,cut-21.1,Transformation,Basic Change of State,Polysemous,,,cross,3,,,Transformation,,,
chip,cut-21.1,Transformation,Causative Change of State,Polysemous,,,cross-examine,1,,,Transformation,,,
chip,hurt-40.8.3,Transformation,Hurt,Polysemous,,,crouch,1,,,Transformation,,,
chir,sound_emission-43.2,Creation,Emission,Monosemous,,,crow,2,,,Creation,,,
chirp,animal_sounds-38,Creation,Emission,Polysemous,,,crowd,1,,,Creation,,,
chirp,manner_speaking-37.3,Communication,Statement,Polysemous,,,crown,3,,,Communication,,,
chirrup,animal_sounds-38,Creation,Emission,Monosemous,,,crucify,1,,,Creation,,,
chisel,build-26.1,Creation,Causative Creation,Monosemous,,,cruise,1,,,Creation,,,
chitchat,chit_chat-37.6,Communication,Joint Statement,Monosemous,,,crumb,2,,,Communication,,,
chitter,animal_sounds-38,Creation,Emission,Monosemous,,,crumble,2,,,Creation,,,
chitter,sound_emission-43.2,Creation,Emission,Monosemous,,,crumple,2,,,Creation,,,
chlorinate,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,crunch,3,,,Transformation,,,
choke,die-42.4,Transformation,Basic Change of State,Polysemous,,,crush,3,,,Transformation,,,
choke,suﬀocate-40.7,Transformation,Basic Change of State,Polysemous,,,crust,1,,,Transformation,,,
choke,ﬁll-9.8,Incremental,Basic Incremental,Polysemous,,,cry,4,,,Incremental,,,
chomp,chew-39.2,Transformation,Ingestion,Monosemous,,,crystallize,1,,,Transformation,,,
choose,get-13.5.1,Possession,Dynamic Possession,Polysemous,,,cub,1,,,Possession,,,
choose,get-13.5.1,Possession,Buy and Sell,Polysemous,,,cube,1,,,Possession,,,
chop,carve-21.2,Force,Basic Force,Polysemous,,,cuckold,1,,,Force,,,
chop,cut-21.1,Transformation,Basic Change of State,Polysemous,,,cuckoo,1,,,Transformation,,,
chop,cut-21.1,Transformation,Causative Change of State,Polysemous,,,cuddle,1,,,Transformation,,,
chop,swat-18.2,Force,Basic Force,Polysemous,,,cudgel,1,,,Force,,,
choreograph,create-26.4,Creation,Causative Creation,Monosemous,,,cuff,1,,,Creation,,,
chortle,manner_speaking-37.3,Communication,Statement,Polysemous,,,cull,2,,,Communication,,,
chortle,nonverbal_expression-40.2,Existence,Existence,Polysemous,,,cultivate,2,,,Existence,,,
christen,dub-29.3.2,Communication,Statement,Monosemous,,,cup,1,,,Communication,,,
christianize,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,curdle,1,,,Transformation,,,
chrome,butter-9.9,Incremental,Causative Incremental,Monosemous,,,curl,2,,,Incremental,,,
chronicle,transcribe-25.4,Creation,Image Creation,Monosemous,,,curry,1,,,Creation,,,
chuck,throw-17.1,Motion,Throw,Monosemous,,,curse,2,,,Motion,,,
chuckle,manner_speaking-37.3,Communication,Statement,Polysemous,,,curtain,1,,,Communication,,,
chuckle,nonverbal_expression-40.2,Existence,Existence,Polysemous,,,curtsey,1,,,Existence,,,
chug,sound_emission-43.2,Creation,Emission,Monosemous,,,curve,1,,,Creation,,,
chunk,classify-29.10,Cognition,Judge,Monosemous,,,cut,8,,,Cognition,,,
chunter,run-51.3.2,Motion,Basic Motion,Monosemous,,,cut_off,1,,,Motion,,,
churn,build-26.1,Creation,Causative Creation,Monosemous,,,cycle,1,,,Creation,,,
cinch,tape-22.4,Incremental,Basic Incremental,Monosemous,,,dab,2,,,Incremental,,,
circle,contiguous_location-47.8,Location,Location,Monosemous,,,dam,1,,,Location,,,
circularize,contribute-13.2,Possession,Dynamic Possession,Monosemous,,,damage,1,,,Possession,,,
circulate,modes_of_being_with_motion-47.3,Existence,Existence,Monosemous,,,damn,2,,,Existence,,,
circumcise,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,dampen,1,,,Transformation,,,
circumscribe,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,dance,3,,,Transformation,,,
cite,judgment-33.1,Affiliation,Attack,Polysemous,,,dangle,2,,,Affiliation,,,
cite,judgment-33.1,Cognition,Judge,Polysemous,,,dapple,1,,,Cognition,,,
civilize,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,dare,1,,,Transformation,,,
clack,sound_emission-43.2,Creation,Emission,Monosemous,,,darken,1,,,Creation,,,
claim,say-37.7,Communication,Statement,Monosemous,,,dart,2,,,Communication,,,
clamber,run-51.3.2,Motion,Basic Motion,Monosemous,,,dash,2,,,Motion,,,
clamp,tape-22.4,Incremental,Basic Incremental,Monosemous,,,date,2,,,Incremental,,,
clang,bump-18.4,Force,Basic Force,Polysemous,,,daub,1,,,Force,,,
clang,sound_emission-43.2,Creation,Emission,Polysemous,,,daunt,1,,,Creation,,,
clank,sound_emission-43.2,Creation,Emission,Monosemous,,,dawn,1,,,Creation,,,
clap,sound_emission-43.2,Creation,Emission,Polysemous,,,daydream,1,,,Creation,,,
clap,wink-40.3.1,Existence,Existence,Polysemous,,,daze,1,,,Existence,,,
clarify,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,dazzle,1,,,Transformation,,,
clash,battle-36.4,Affiliation,Reciprocal,Polysemous,,,de-escalate,1,,,Affiliation,,,
clash,bump-18.4,Force,Basic Force,Polysemous,,,deaccent,1,,,Force,,,
clash,sound_emission-43.2,Creation,Emission,Polysemous,,,deafen,1,,,Creation,,,
clasp,tape-22.4,Incremental,Basic Incremental,Monosemous,,,deal,2,,,Incremental,,,
class,characterize-29.2,Communication,Statement,Polysemous,,,debark,1,,,Communication,,,
class,classify-29.10,Cognition,Judge,Polysemous,,,debase,1,,,Cognition,,,
classify,characterize-29.2,Communication,Statement,Polysemous,,,debate,2,,,Communication,,,
classify,classify-29.10,Cognition,Judge,Polysemous,,,debone,1,,,Cognition,,,
clatter,bump-18.4,Force,Basic Force,Polysemous,,,debowel,1,,,Force,,,
clatter,sound_emission-43.2,Creation,Emission,Polysemous,,,debug,1,,,Creation,,,
claw,swat-18.2,Force,Basic Force,Monosemous,,,debur,1,,,Force,,,
clay,butter-9.9,Incremental,Causative Incremental,Monosemous,,,deburr,1,,,Incremental,,,
clean,clear-10.3,Incremental,Basic Incremental,Polysemous,,,decamp,1,,,Incremental,,,
clean,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,decapitate,1,,,Transformation,,,
clean,preparing-26.3,Creation,Causative Creation,Polysemous,,,decay,1,,,Creation,,,
cleanse,groom-41.1.2,Transformation,Causative Change of State,Monosemous,,,decease,1,,,Transformation,,,
clear,clear-10.3,Incremental,Basic Incremental,Polysemous,,,deceive,1,,,Incremental,,,
clear,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,decelerate,1,,,Transformation,,,
clear,preparing-26.3,Creation,Causative Creation,Polysemous,,,decentralize,1,,,Creation,,,
clear,weather-57,Existence,Existence,Polysemous,,,decide,1,,,Existence,,,
cleave,break-45.1,Transformation,Basic Change of State,Polysemous,,,decimate,1,,,Transformation,,,
cleave,carve-21.2,Force,Basic Force,Polysemous,,,deck,1,,,Force,,,
cleave,cling-22.5,Incremental,Basic Incremental,Polysemous,,,declare,1,,,Incremental,,,
clench,crane-40.3.2,Existence,Existence,Monosemous,,,declaw,1,,,Existence,,,
clerk,captain-29.8,Affiliation,Role,Polysemous,,,decline,1,,,Affiliation,,,
clerk,employment-95.3,Affiliation,Membership,Polysemous,,,decoct,1,,,Affiliation,,,
click,crane-40.3.2,Existence,Existence,Polysemous,,,decompose,1,,,Existence,,,
click,hit-18.1,Force,Basic Force,Polysemous,,,decompress,1,,,Force,,,
click,sound_emission-43.2,Creation,Emission,Polysemous,,,deconstruct,1,,,Creation,,,
climb,escape-51.1,Motion,Basic Motion,Polysemous,,,decontaminate,1,,,Motion,,,
climb,meander-47.7,Existence,Existence,Polysemous,,,decorate,1,,,Existence,,,
climb,run-51.3.2,Motion,Basic Motion,Polysemous,,,decouple,1,,,Motion,,,
cling,cling-22.5,Incremental,Basic Incremental,Polysemous,,,decree,1,,,Incremental,,,
cling,sound_emission-43.2,Creation,Emission,Polysemous,,,decry,2,,,Creation,,,
clink,sound_emission-43.2,Creation,Emission,Monosemous,,,deduce,2,,,Creation,,,
clip,braid-41.2.2,Transformation,Causative Change of State,Polysemous,,,deduct,3,,,Transformation,,,
clip,cut-21.1,Transformation,Basic Change of State,Polysemous,,,deem,1,,,Transformation,,,
clip,cut-21.1,Transformation,Causative Change of State,Polysemous,,,deep-fry,1,,,Transformation,,,
clip,tape-22.4,Incremental,Basic Incremental,Polysemous,,,deepen,1,,,Incremental,,,
cloak,butter-9.9,Incremental,Causative Incremental,Polysemous,,,defame,2,,,Incremental,,,
cloak,contiguous_location-47.8,Location,Location,Polysemous,,,defang,1,,,Location,,,
cloak,ﬁll-9.8,Incremental,Basic Incremental,Polysemous,,,defat,1,,,Incremental,,,
clobber,spank-18.3,Force,Basic Force,Monosemous,,,defeather,1,,,Force,,,
clock,register-54.1,Quantification,Measurement,Monosemous,,,defecate,1,,,Quantification,,,
clog,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,defend,2,,,Transformation,,,
clog,waltz-51.5,Motion,Basic Motion,Polysemous,,,define,1,,,Motion,,,
clog,ﬁll-9.8,Incremental,Basic Incremental,Polysemous,,,deflate,1,,,Incremental,,,
cloister,concealment-16,Incremental,Concealment,Polysemous,,,deflea,1,,,Incremental,,,
cloister,pocket-9.10,Incremental,Basic Incremental,Polysemous,,,deflect,1,,,Incremental,,,
clomp,sound_emission-43.2,Creation,Emission,Monosemous,,,deflesh,1,,,Creation,,,
close,crane-40.3.2,Existence,Existence,Polysemous,,,deflower,1,,,Existence,,,
close,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,defoam,1,,,Transformation,,,
close,ﬁll-9.8,Incremental,Basic Incremental,Polysemous,,,defog,1,,,Incremental,,,
clothe,dress-41.1.1,Incremental,Basic Incremental,Monosemous,,,deforest,1,,,Incremental,,,
cloud,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,deform,1,,,Transformation,,,
clout,spank-18.3,Force,Basic Force,Monosemous,,,defraud,1,,,Force,,,
cloy,amuse-31.1,Affect,Affect,Monosemous,,,defrost,2,,,Affect,,,
club,spank-18.3,Force,Basic Force,Monosemous,,,defuzz,1,,,Force,,,
cluck,animal_sounds-38,Creation,Emission,Polysemous,,,degas,1,,,Creation,,,
cluck,manner_speaking-37.3,Communication,Statement,Polysemous,,,degenerate,1,,,Communication,,,
clump,run-51.3.2,Motion,Basic Motion,Polysemous,,,degerm,1,,,Motion,,,
clump,sound_emission-43.2,Creation,Emission,Polysemous,,,deglaze,1,,,Creation,,,
clunk,sound_emission-43.2,Creation,Emission,Monosemous,,,degrade,1,,,Creation,,,
cluster,herd-47.5.2,Incremental,Basic Incremental,Monosemous,,,degrease,1,,,Incremental,,,
clutter,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,degrit,1,,,Incremental,,,
co-occur,correlate-86.1,Association,Correlate and Differ,Monosemous,,,degum,1,,,Association,,,
coach,captain-29.8,Affiliation,Role,Polysemous,,,degut,1,,,Affiliation,,,
coach,vehicle-51.4.1,Motion,Vehicular Motion,Polysemous,,,dehair,1,,,Motion,,,
coagulate,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,dehead,1,,,Transformation,,,
coal,butter-9.9,Incremental,Causative Incremental,Monosemous,,,dehorn,1,,,Incremental,,,
coalesce,appear-48.1.1,Location,Location,Monosemous,,,dehull,1,,,Location,,,
coarsen,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,dehumidify,1,,,Transformation,,,
coast,run-51.3.2,Motion,Basic Motion,Polysemous,,,dehusk,1,,,Motion,,,
coast,vehicle_path-51.4.3,Motion,Vehicular Motion,Polysemous,,,dehydrate,1,,,Motion,,,
coat,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,deice,1,,,Incremental,,,
coax,lure-59.3,Affiliation,Inducive,Monosemous,,,deify,1,,,Affiliation,,,
cock,crane-40.3.2,Existence,Existence,Monosemous,,,deink,1,,,Existence,,,
coddle,cooking-45.3,Transformation,Causative Change of State,Monosemous,,,deject,1,,,Transformation,,,
code,classify-29.10,Cognition,Judge,Monosemous,,,delete,1,,,Cognition,,,
coerce,compel-59.1,Affiliation,Inducive,Monosemous,,,deliberate,2,,,Affiliation,,,
coexist,exist-47.1,Existence,Existence,Monosemous,,,delight,1,,,Existence,,,
cognize,cognize-85,Cognition,Know,Monosemous,,,delineate,1,,,Cognition,,,
cohere,harmonize-22.6,Association,Correlate and Differ,Monosemous,,,delint,1,,,Association,,,
coif,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,deliver,2,,,Transformation,,,
coil,coil-9.6,Incremental,Basic Incremental,Polysemous,,,delouse,1,,,Incremental,,,
coil,knead-26.5,Transformation,Basic Change of State,Polysemous,,,delude,1,,,Transformation,,,
coil,roll-51.3.1,Motion,Basic Motion,Polysemous,,,deluge,1,,,Motion,,,
coin,create-26.4,Creation,Causative Creation,Monosemous,,,deluster,1,,,Creation,,,
coincide,correlate-86.1,Association,Correlate and Differ,Monosemous,,,delve,1,,,Association,,,
coldcream,braid-41.2.2,Transformation,Causative Change of State,Monosemous,,,demagnetize,1,,,Transformation,,,
collaborate,cooperate-73.1,Affiliation,Collective,Polysemous,,,demand,2,,,Affiliation,,,
collaborate,correspond-36.1,Communication,Joint Statement,Polysemous,,,demast,1,,,Communication,,,
collapse,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,demean,1,,,Transformation,,,
collect,herd-47.5.2,Incremental,Basic Incremental,Polysemous,,,dement,1,,,Incremental,,,
collect,knead-26.5,Transformation,Basic Change of State,Polysemous,,,demobilize,1,,,Transformation,,,
collect,obtain-13.5.2,Possession,Dynamic Possession,Polysemous,,,democratize,1,,,Possession,,,
collect,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,demolish,2,,,Transformation,,,
collide,battle-36.4,Affiliation,Reciprocal,Polysemous,,,demonstrate,2,,,Affiliation,,,
collide,bump-18.4,Force,Basic Force,Polysemous,,,demoralize,1,,,Force,,,
collide,correspond-36.1,Communication,Joint Statement,Polysemous,,,denigrate,2,,,Communication,,,
color,coloring-24,Transformation,Causative Change of State,Monosemous,,,denote,1,,,Transformation,,,
comb,braid-41.2.2,Transformation,Causative Change of State,Polysemous,,,denounce,2,,,Transformation,,,
comb,search-35.2,Volition,Search,Polysemous,,,dent,1,,,Volition,,,
comb,wipe_instr-10.4.2,Incremental,Causative Incremental,Polysemous,,,denude,1,,,Incremental,,,
combat,battle-36.4,Affiliation,Reciprocal,Polysemous,,,deny,1,,,Affiliation,,,
combat,confront-98,Communication,Response,Polysemous,,,depart,1,,,Communication,,,
combine,mix-22.1,Incremental,Basic Incremental,Monosemous,,,depict,1,,,Incremental,,,
combust,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,deplete,1,,,Transformation,,,
come,appear-48.1.1,Location,Location,Polysemous,,,deplore,1,,,Location,,,
come,escape-51.1,Motion,Basic Motion,Polysemous,,,depopulate,1,,,Motion,,,
come,register-54.1,Quantification,Measurement,Polysemous,,,deport,1,,,Quantification,,,
come_across,encounter-30.5,Perception,Sense,Monosemous,,,depose,1,,,Perception,,,
come_off,occur-48.3,Existence,Existence,Monosemous,,,deposit,1,,,Existence,,,
comfort,amuse-31.1,Affect,Affect,Monosemous,,,deprecate,2,,,Affect,,,
command,order-58.3,Communication,Request,Polysemous,,,depress,1,,,Communication,,,
command,supervision-95.2.2,Affiliation,Membership,Polysemous,,,depressurize,1,,,Affiliation,,,
commandeer,compel-59.1,Affiliation,Inducive,Polysemous,,,deprive,1,,,Affiliation,,,
